g	#	1
s	10	56
e	1	2	99	0.859148	1
e	1	8	73	0.715854	2
e	1	4	20	0.781428	3
e	1	10	16	0.957978	4
e	1	6	4	0.799377	5
e	1	5	8	0.629551	6
e	1	2	13	0.91293	7
e	2	5	81	0.941847	8
e	2	4	28	0.500647	9
e	2	9	1	0.699492	10
e	3	4	17	0.702497	11
e	3	1	77	0.716715	12
e	3	1	5	0.536065	13
e	3	9	67	0.990216	14
e	4	1	90	0.569545	15
e	4	5	65	0.994976	16
e	4	9	95	0.604382	17
e	4	8	77	0.50843	18
e	4	5	83	0.611206	19
e	4	7	29	0.621556	20
e	4	7	64	0.526096	21
e	5	1	7	0.951965	22
e	5	4	50	0.779424	23
e	5	6	83	0.684803	24
e	5	9	13	0.622929	25
e	6	3	47	0.869977	26
e	6	9	88	0.606693	27
e	6	3	48	0.914897	28
e	6	8	93	0.722421	29
e	6	1	22	0.869855	30
e	6	7	51	0.719054	31
e	6	1	35	0.799656	32
e	6	4	39	0.804181	33
e	6	1	34	0.572991	34
e	6	7	60	0.743377	35
e	6	7	17	0.537969	36
e	7	9	46	0.740756	37
e	7	10	15	0.674548	38
e	7	1	33	0.653028	39
e	7	3	15	0.745905	40
e	7	8	81	0.621026	41
e	7	10	60	0.78449	42
e	8	4	75	0.703147	43
e	8	5	34	0.990991	44
e	8	3	59	0.675156	45
e	8	4	77	0.646247	46
e	8	6	38	0.981801	47
e	8	7	65	0.749166	48
e	8	6	57	0.971668	49
e	9	8	66	0.683269	50
e	9	4	5	0.754523	51
e	10	9	17	0.904639	52
e	10	9	43	0.626246	53
e	10	5	81	0.752421	54
e	10	9	28	0.92657	55
e	10	3	20	0.704238	56
g	#	0
