g	#	1
s	13	27
e	1	2	45	0.5293	1
e	1	3	23	0.8008	2
e	1	5	62	0.6941	3
e	1	6	51	0.5347	4
e	1	10	67	0.5985	5
e	1	9	60	0.6856	6
e	2	4	40	0.6104	7
e	2	7	25	0.7065	8
e	2	10	11	0.5966	9
e	2	5	50	0.9557	10
e	3	8	14	0.7998	11
e	3	11	23	0.9286	12
e	3	13	19	0.698	13
e	3	9	6	0.8599	14
e	4	12	92	0.777	15
e	4	5	26	0.5014	16
e	4	6	15	0.6289	17
e	5	10	25	0.9126	18
e	5	12	75	0.9146	19
e	5	7	60	0.9184	20
e	6	9	71	0.6645	21
e	6	7	98	0.7299	22
e	7	10	78	0.733	23
e	7	9	71	0.7585	24
e	9	10	69	0.6575	25
e	9	12	86	0.7004	26
e	10	12	81	0.7914	27
g	#	0
